imagen,particulas,iteraciones,r,m,SSIM_avg,E,SF,SD,PSNR,FO
APC_1_view_1_fk_06_005,2,10,4,0.3,0.72436,6.554339,17.615729,0.102167,19.902638,1.754277
APC_1_view_1_fk_06_005,2,20,25,0.3,0.673401,6.86487,19.009294,0.125813,18.970182,1.721211
APC_1_view_1_fk_06_005,2,30,1,0.9104,0.624967,6.611474,21.930743,0.099893,19.873815,1.650134
APC_1_view_1_fk_06_005,2,40,9,0.3,0.693715,6.687436,18.627261,0.11357,19.465741,1.725313
APC_1_view_1_fk_06_005,2,50,2,0.3,0.756833,6.482147,15.839036,0.095099,20.172197,1.784237
APC_1_view_1_fk_06_005,4,10,1,0.3,0.774484,6.457471,14.455348,0.092401,20.256882,1.784237
APC_1_view_1_fk_06_005,4,20,1,0.3,0.774484,6.457471,14.455348,0.092401,20.256882,1.784237
APC_1_view_1_fk_06_005,4,30,2,0.3,0.756833,6.482147,15.839036,0.095099,20.172197,1.784237
APC_1_view_1_fk_06_005,4,40,25,0.3,0.673401,6.86487,19.009294,0.125813,18.970182,1.721211
APC_1_view_1_fk_06_005,4,50,25,0.3,0.673401,6.86487,19.009294,0.125813,18.970182,1.721211
APC_1_view_1_fk_06_005,6,10,2,0.3,0.756833,6.482147,15.839036,0.095099,20.172197,1.784237
APC_1_view_1_fk_06_005,6,20,25,0.3,0.673401,6.86487,19.009294,0.125813,18.970182,1.721211
APC_1_view_1_fk_06_005,6,30,1,0.3,0.774484,6.457471,14.455348,0.092401,20.256882,1.784237
APC_1_view_1_fk_06_005,6,40,1,0.3,0.774484,6.457471,14.455348,0.092401,20.256882,1.784237
APC_1_view_1_fk_06_005,6,50,1,0.3,0.774484,6.457471,14.455348,0.092401,20.256882,1.784237
APC_1_view_1_fk_06_005,8,10,1,0.3,0.774484,6.457471,14.455348,0.092401,20.256882,1.784237
APC_1_view_1_fk_06_005,8,20,1,0.3,0.774484,6.457471,14.455348,0.092401,20.256882,1.784237
APC_1_view_1_fk_06_005,8,30,1,0.3,0.774484,6.457471,14.455348,0.092401,20.256882,1.784237
APC_1_view_1_fk_06_005,8,40,25,0.3,0.673401,6.86487,19.009294,0.125813,18.970182,1.721211
APC_1_view_1_fk_06_005,8,50,1,0.3,0.774484,6.457471,14.455348,0.092401,20.256882,1.784237
APC_1_view_1_fk_06_005,10,10,2,0.3,0.756833,6.482147,15.839036,0.095099,20.172197,1.784237
APC_1_view_1_fk_06_005,10,20,25,0.3,0.673401,6.86487,19.009294,0.125813,18.970182,1.721211
APC_1_view_1_fk_06_005,10,30,25,0.3,0.673401,6.86487,19.009294,0.125813,18.970182,1.721211
APC_1_view_1_fk_06_005,10,40,1,0.3,0.774484,6.457471,14.455348,0.092401,20.256882,1.784237
APC_1_view_1_fk_06_005,10,50,25,0.3,0.673401,6.86487,19.009294,0.125813,18.970182,1.721211
APC_1_view_2_fk_ref_01_005,2,10,1,0.3,0.814663,6.673863,14.042181,0.109624,21.376623,1.862662
APC_1_view_2_fk_ref_01_005,2,20,1,0.3,0.814663,6.673863,14.042181,0.109624,21.376623,1.862662
APC_1_view_2_fk_ref_01_005,2,30,25,0.3,0.709992,7.045655,18.763704,0.141134,19.920365,1.789903
APC_1_view_2_fk_ref_01_005,2,40,25,0.3,0.709992,7.045655,18.763704,0.141134,19.920365,1.789903
APC_1_view_2_fk_ref_01_005,2,50,1,0.3,0.814663,6.673863,14.042181,0.109624,21.376623,1.862662
APC_1_view_2_fk_ref_01_005,4,10,1,0.3,0.814663,6.673863,14.042181,0.109624,21.376623,1.862662
APC_1_view_2_fk_ref_01_005,4,20,1,0.3,0.814663,6.673863,14.042181,0.109624,21.376623,1.862662
APC_1_view_2_fk_ref_01_005,4,30,1,0.3,0.814663,6.673863,14.042181,0.109624,21.376623,1.862662
APC_1_view_2_fk_ref_01_005,4,40,25,0.3,0.709992,7.045655,18.763704,0.141134,19.920365,1.789903
APC_1_view_2_fk_ref_01_005,4,50,25,0.3,0.709992,7.045655,18.763704,0.141134,19.920365,1.789903
APC_1_view_2_fk_ref_01_005,6,10,1,0.3,0.814663,6.673863,14.042181,0.109624,21.376623,1.862662
APC_1_view_2_fk_ref_01_005,6,20,25,0.3,0.709992,7.045655,18.763704,0.141134,19.920365,1.789903
APC_1_view_2_fk_ref_01_005,6,30,1,0.3,0.814663,6.673863,14.042181,0.109624,21.376623,1.862662
APC_1_view_2_fk_ref_01_005,6,40,1,0.3,0.814663,6.673863,14.042181,0.109624,21.376623,1.862662
APC_1_view_2_fk_ref_01_005,6,50,1,0.3,0.814663,6.673863,14.042181,0.109624,21.376623,1.862662
APC_1_view_2_fk_ref_01_005,8,10,1,0.3,0.814663,6.673863,14.042181,0.109624,21.376623,1.862662
APC_1_view_2_fk_ref_01_005,8,20,1,0.3,0.814663,6.673863,14.042181,0.109624,21.376623,1.862662
APC_1_view_2_fk_ref_01_005,8,30,1,0.3,0.814663,6.673863,14.042181,0.109624,21.376623,1.862662
APC_1_view_2_fk_ref_01_005,8,40,1,0.3,0.814663,6.673863,14.042181,0.109624,21.376623,1.862662
APC_1_view_2_fk_ref_01_005,8,50,25,0.3,0.709992,7.045655,18.763704,0.141134,19.920365,1.789903
APC_1_view_2_fk_ref_01_005,10,10,1,0.3,0.814663,6.673863,14.042181,0.109624,21.376623,1.862662
APC_1_view_2_fk_ref_01_005,10,20,25,0.3,0.709992,7.045655,18.763704,0.141134,19.920365,1.789903
APC_1_view_2_fk_ref_01_005,10,30,1,0.3,0.814663,6.673863,14.042181,0.109624,21.376623,1.862662
APC_1_view_2_fk_ref_01_005,10,40,1,0.3,0.814663,6.673863,14.042181,0.109624,21.376623,1.862662
APC_1_view_2_fk_ref_01_005,10,50,1,0.3,0.814663,6.673863,14.042181,0.109624,21.376623,1.862662
APC_1_view_3_fk_ref_02_005,2,10,25,0.3,0.665696,7.295092,22.178588,0.170549,18.795663,1.765539
APC_1_view_3_fk_ref_02_005,2,20,1,0.3,0.772578,6.995213,16.537087,0.13805,20.246647,1.849446
APC_1_view_3_fk_ref_02_005,2,30,1,0.3,0.772578,6.995213,16.537087,0.13805,20.246647,1.849446
APC_1_view_3_fk_ref_02_005,2,40,24,0.3,0.667128,7.285462,22.158386,0.169654,18.826023,1.766071
APC_1_view_3_fk_ref_02_005,2,50,1,0.3,0.772578,6.995213,16.537087,0.13805,20.246647,1.849446
APC_1_view_3_fk_ref_02_005,4,10,1,0.3,0.772578,6.995213,16.537087,0.13805,20.246647,1.849446
APC_1_view_3_fk_ref_02_005,4,20,1,0.3,0.772578,6.995213,16.537087,0.13805,20.246647,1.849446
APC_1_view_3_fk_ref_02_005,4,30,1,0.3,0.772578,6.995213,16.537087,0.13805,20.246647,1.849446
APC_1_view_3_fk_ref_02_005,4,40,1,0.3,0.772578,6.995213,16.537087,0.13805,20.246647,1.849446
APC_1_view_3_fk_ref_02_005,4,50,2,0.3,0.748943,7.025284,18.60219,0.140787,20.098105,1.849446
APC_1_view_3_fk_ref_02_005,6,10,1,0.3,0.772578,6.995213,16.537087,0.13805,20.246647,1.849446
APC_1_view_3_fk_ref_02_005,6,20,1,0.3,0.772578,6.995213,16.537087,0.13805,20.246647,1.849446
APC_1_view_3_fk_ref_02_005,6,30,1,0.3,0.772578,6.995213,16.537087,0.13805,20.246647,1.849446
APC_1_view_3_fk_ref_02_005,6,40,1,0.3,0.772578,6.995213,16.537087,0.13805,20.246647,1.849446
